Bishop, Eric Marlon--1967-12-16
Brown, Christopher Maurice--1989-05-05
Clooney, George Timothy--1961-05-05
Cockburn, Olivia Jane--1984-03-03
Depp, John Christopher--1963-06-09
DiCaprio, Leonardo Wilhelm--1974-11-11
Dick, Timothy Allen--1953-06-13
Gosling, Ryan Thomas--1980-11-12
Kunis, Milena Markovna--1983-08-14
Mironoff, Ilyena Lydia--1945-07-26
Quaid, Dennis William--1954-06-09
Spielberg, Steven Allan--1946-12-18
Stone, Emily Jean--1977-11-06
Tarantino, Quentin Jerome--1963-03-27
Voight, Angelina Jolie--1975-06-04
Winkler, Henry Franklin--1945-10-30
Woodard, Alfre Ette--1952-11-08
